0.999145	-0.0362872	-0.0198169	-0.0185136
0.0358302	0.999094	-0.0229442	-0.264579
0.0206315	0.0222145	0.99954	-0.127991
0.999948	0.00572458	-0.00838545	-0.0228258
-0.00580949	0.999932	-0.0101376	-0.160422
0.00832684	0.0101858	0.999913	-0.00968704
0.999594	-0.0214763	0.0187277	-0.0224124
0.0219082	0.999491	-0.0231714	-0.141561
-0.0182205	0.0235723	0.999556	-0.0337269
0.999798	0.0186281	0.00754112	-0.208898
-0.0186447	0.999824	0.00212941	-0.135464
-0.00750013	-0.00226958	0.999969	-0.0462327
0.999765	0.0169205	0.0135808	-0.119264
-0.0167329	0.999765	-0.013807	-0.0564785
-0.0138112	0.0135765	0.999812	-0.0937515
0.996811	-0.0452226	0.0657511	-0.0495266
0.0484415	0.997662	-0.0482156	-0.0879005
-0.0634169	0.0512469	0.99667	-0.103989

